participant;IP;task;SS;SL;SP;DS;DL;DP;taskname
10;67.190.251.95;SLSS;0;1;0;0;0;0;SA7
10;67.190.251.95;SLSS;0;1;0;0;0;0;SA7_Rep2
10;67.190.251.95;SLSS;0;1;0;0;0;0;SA7_Rep3
10;67.190.251.95;SPSL;0;0;1;0;0;0;SA8
10;67.190.251.95;SPSL;0;1;0;0;0;0;SA8_Rep2
10;67.190.251.95;SPSL;0;1;0;0;0;0;SA8_Rep3
10;67.190.251.95;SPDS;0;0;0;1;0;0;SA9
10;67.190.251.95;SPDS;0;0;0;1;0;0;SA9_Rep2
10;67.190.251.95;SPDS;0;0;0;1;0;0;SA9_Rep3
10;67.190.251.95;SSSP;1;0;0;0;0;0;SA10
10;67.190.251.95;SSSP;0;0;1;0;0;0;SA10_Rep2
10;67.190.251.95;SSSP;1;0;0;0;0;0;SA10_Rep3
10;67.190.251.95;SLDS;0;1;0;0;0;0;SA11
10;67.190.251.95;SLDS;0;1;0;0;0;0;SA11_Rep2
10;67.190.251.95;SLDS;0;1;0;0;0;0;SA11_Rep3
10;67.190.251.95;DPDS;0;0;0;0;0;1;SA12
10;67.190.251.95;DPDS;0;0;0;0;0;1;SA12_Rep2
10;67.190.251.95;DPDS;0;0;0;0;0;1;SA12_Rep3
10;67.190.251.95;DLDS;0;0;0;0;1;0;SA13
10;67.190.251.95;DLDS;0;0;0;0;1;0;SA13_Rep2
10;67.190.251.95;DLDS;0;0;0;0;1;0;SA13_Rep3
11;206.255.177.39;DPDL;0;0;0;0;0;1;SA2
11;206.255.177.39;DPDL;0;0;0;0;1;0;SA2_Rep2
11;206.255.177.39;DPDL;0;0;0;0;0;1;SA2_Rep3
11;206.255.177.39;SSDL;0;0;0;0;1;0;SA3
11;206.255.177.39;SSDL;1;0;0;0;0;0;SA3_Rep2
11;206.255.177.39;SSDL;1;0;0;0;0;0;SA3_Rep3
11;206.255.177.39;SSDP;0;0;0;0;0;1;SA4
11;206.255.177.39;SSDP;0;0;0;0;0;1;SA4_Rep2
11;206.255.177.39;SSDP;0;0;0;0;0;1;SA4_Rep3
11;206.255.177.39;SLDP;0;0;0;0;0;1;SA5
11;206.255.177.39;SLDP;0;0;0;0;0;1;SA5_Rep2
11;206.255.177.39;SLDP;0;0;0;0;0;1;SA5_Rep3
11;206.255.177.39;SPDL;0;0;1;0;0;0;SA6
11;206.255.177.39;SPDL;0;0;1;0;0;0;SA6_Rep2
11;206.255.177.39;SPDL;0;0;1;0;0;0;SA6_Rep3
11;206.255.177.39;SLSS;0;1;0;0;0;0;SA7
11;206.255.177.39;SLSS;0;1;0;0;0;0;SA7_Rep2
11;206.255.177.39;SLSS;0;1;0;0;0;0;SA7_Rep3
11;206.255.177.39;SPSL;0;0;1;0;0;0;SA8
11;206.255.177.39;SPSL;0;0;1;0;0;0;SA8_Rep2
11;206.255.177.39;SPSL;0;1;0;0;0;0;SA8_Rep3
11;206.255.177.39;SPDS;0;0;1;0;0;0;SA9
11;206.255.177.39;SPDS;0;0;0;1;0;0;SA9_Rep2
11;206.255.177.39;SPDS;0;0;0;1;0;0;SA9_Rep3
11;206.255.177.39;SSSP;0;0;1;0;0;0;SA10
11;206.255.177.39;SSSP;0;0;1;0;0;0;SA10_Rep2
11;206.255.177.39;SSSP;0;0;1;0;0;0;SA10_Rep3
11;206.255.177.39;SLDS;0;0;0;1;0;0;SA11
11;206.255.177.39;SLDS;0;1;0;0;0;0;SA11_Rep2
11;206.255.177.39;SLDS;0;1;0;0;0;0;SA11_Rep3
11;206.255.177.39;DPDS;0;0;0;1;0;0;SA12
11;206.255.177.39;DPDS;0;0;0;1;0;0;SA12_Rep2
11;206.255.177.39;DPDS;0;0;0;1;0;0;SA12_Rep3
11;206.255.177.39;DLDS;0;0;0;1;0;0;SA13
11;206.255.177.39;DLDS;0;0;0;1;0;0;SA13_Rep2
11;206.255.177.39;DLDS;0;0;0;1;0;0;SA13_Rep3
12;128.111.97.61;DPDL;0;0;0;0;0;1;SA2
12;128.111.97.61;DPDL;0;0;0;0;0;1;SA2_Rep2
12;128.111.97.61;DPDL;0;0;0;0;0;1;SA2_Rep3
12;128.111.97.61;SSDL;0;0;0;0;1;0;SA3
12;128.111.97.61;SSDL;0;0;0;0;1;0;SA3_Rep2
12;128.111.97.61;SSDL;0;0;0;0;1;0;SA3_Rep3
12;128.111.97.61;SSDP;0;0;0;0;0;1;SA4
12;128.111.97.61;SSDP;0;0;0;0;0;1;SA4_Rep2
